record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
25472,4,12,1997,17,PM,F,21.0,17.0
3589,12,15,1980,6,PF,F,15.0,7.0
7849,5,14,1983,20,NL,F,31.0,151.0
33684,3,14,2002,11,DM,M,36.0,47.0
14815,8,10,1988,10,RM,F,19.0,11.0
34469,7,13,2002,18,SH,M,25.0,70.0
12698,4,26,1987,1,DM,M,35.0,46.0
18422,2,17,1991,11,DM,M,37.0,46.0
18635,4,21,1991,14,DO,M,35.0,55.0
384,11,13,1977,11,DM,M,36.0,37.0
17937,10,16,1990,8,DM,F,35.0,40.0
14165,2,22,1988,5,NL,F,34.0,190.0
9470,8,25,1984,12,DM,F,34.0,41.0
16577,10,8,1989,14,DM,M,37.0,48.0
12248,2,1,1987,11,PE,F,21.0,24.0
28105,6,28,1998,6,PB,F,26.0,29.0
32892,10,13,2001,24,NL,M,31.0,187.0
7639,4,16,1983,19,PF,M,16.0,8.0
13232,8,25,1987,17,DO,M,36.0,54.0
4937,10,25,1981,6,PP,M,23.0,17.0
995,6,9,1978,2,PF,M,16.0,8.0
17207,2,25,1990,9,DM,M,36.0,47.0
11023,11,17,1985,5,DM,M,37.0,44.0
14432,4,19,1988,12,DM,M,37.0,45.0
6464,8,16,1982,13,DO,F,34.0,42.0
28269,7,19,1998,13,PB,F,27.0,30.0
10479,6,15,1985,12,DM,F,35.0,27.0
27881,5,28,1998,20,PF,F,16.0,10.0
8498,10,16,1983,9,DS,M,48.0,112.0
8357,9,11,1983,4,NL,F,32.0,196.0
27757,5,2,1998,20,NL,F,34.0,175.0
18390,2,17,1991,5,RM,M,16.0,10.0
20266,8,29,1992,18,PP,F,21.0,21.0
21671,7,8,1994,19,PF,F,16.0,7.0
10497,6,16,1985,8,DO,M,36.0,30.0
1436,11,4,1978,8,OT,F,20.0,24.0
6852,10,24,1982,9,DM,M,37.0,51.0
14372,4,18,1988,7,PE,F,20.0,27.0
24232,7,21,1996,8,DO,F,36.0,54.0
10072,3,16,1985,6,DO,F,37.0,45.0
18516,3,14,1991,6,RM,M,15.0,8.0
18612,4,21,1991,8,DM,M,35.0,43.0
7554,3,15,1983,4,DM,M,34.0,42.0
25850,5,11,1997,9,OL,F,22.0,40.0
16041,5,10,1989,18,PM,F,21.0,20.0
8582,11,12,1983,20,DO,M,35.0,49.0
7120,11,22,1982,5,DM,M,37.0,46.0
3817,1,31,1981,20,PE,F,20.0,25.0
6506,8,16,1982,14,OL,F,20.0,46.0
18685,5,14,1991,3,PP,M,20.0,24.0
4915,10,25,1981,5,OT,M,20.0,19.0
19036,9,9,1991,18,PF,F,16.0,6.0
17955,10,17,1990,14,DM,F,36.0,37.0
23879,4,15,1996,15,PP,M,23.0,20.0
35435,12,29,2002,18,NL,F,31.0,150.0
30241,1,10,2000,11,DM,M,35.0,43.0
7029,11,21,1982,15,RF,M,16.0,11.0
21748,8,18,1994,6,PP,M,23.0,20.0
30209,1,8,2000,22,PB,M,27.0,38.0
25424,4,12,1997,19,PF,M,15.0,10.0
32537,8,26,2001,9,PP,F,23.0,15.0
17072,1,30,1990,4,DM,M,38.0,42.0
63,8,19,1977,3,DM,M,35.0,40.0
15674,2,5,1989,11,DM,M,37.0,37.0
24101,6,14,1996,8,DO,M,37.0,52.0
17427,4,26,1990,4,DM,M,37.0,43.0
26205,6,11,1997,13,PB,M,26.0,31.0
7587,3,15,1983,1,DS,F,50.0,138.0
18365,2,16,1991,22,OT,F,21.0,23.0
4870,10,24,1981,18,OL,M,21.0,21.0
32397,8,25,2001,12,PP,F,23.0,19.0
23457,2,25,1996,14,DM,F,37.0,48.0
5876,5,21,1982,12,PE,F,20.0,15.0
25514,4,12,1997,17,PF,M,16.0,10.0
5812,4,29,1982,4,DM,F,37.0,43.0
15099,11,6,1988,2,OT,M,21.0,23.0
3907,3,8,1981,13,OT,M,22.0,29.0
5723,4,28,1982,12,RM,M,17.0,11.0
9165,5,13,1984,4,DS,M,51.0,133.0
29301,3,14,1999,1,PM,M,20.0,23.0
9871,1,20,1985,15,RM,M,16.0,5.0
20499,10,19,1992,8,DM,M,36.0,42.0
29360,3,14,1999,22,PB,M,27.0,44.0
11184,12,8,1985,13,DM,M,38.0,43.0
30413,2,6,2000,14,PP,M,23.0,19.0
22671,9,23,1995,20,RM,F,15.0,17.0
27441,1,31,1998,19,PB,F,26.0,30.0
28416,8,23,1998,3,PB,F,25.0,30.0
12249,2,1,1987,2,DM,F,36.0,45.0
25473,4,12,1997,1,DO,M,36.0,65.0
19753,3,7,1992,18,PF,F,14.0,7.0
28774,10,25,1998,11,DM,M,35.0,37.0
18553,3,14,1991,8,DM,F,32.0,41.0
31068,7,2,2000,14,PB,M,24.0,24.0
18264,1,12,1991,14,DM,M,36.0,43.0
5659,3,30,1982,17,DS,M,51.0,140.0
13672,11,21,1987,24,RM,M,16.0,9.0
24465,9,22,1996,6,PP,M,22.0,16.0
27983,5,29,1998,9,DM,F,36.0,48.0
34654,7,14,2002,15,DM,F,36.0,42.0
20188,7,30,1992,21,PP,M,22.0,19.0
3983,3,9,1981,12,DM,F,36.0,45.0
23283,1,28,1996,3,PF,M,15.0,5.0
29476,4,17,1999,21,PB,M,26.0,36.0
18106,12,15,1990,17,OL,F,20.0,35.0
1047,7,7,1978,6,DS,F,50.0,85.0
24595,10,12,1996,2,PB,M,28.0,38.0
13798,11,22,1987,7,PE,M,20.0,18.0
29990,11,6,1999,22,PB,F,26.0,34.0
20258,8,29,1992,12,NL,M,33.0,175.0
8457,10,15,1983,22,DM,F,37.0,38.0
34896,10,6,2002,6,PB,F,25.0,29.0
33472,2,9,2002,22,DM,F,36.0,40.0
23526,3,23,1996,20,PF,M,16.0,9.0
7735,4,17,1983,2,DM,M,37.0,41.0
5892,5,21,1982,24,DM,F,35.0,42.0
15879,4,1,1989,6,OT,F,20.0,27.0
18031,11,11,1990,11,DM,M,36.0,48.0
10117,3,17,1985,9,DM,F,35.0,42.0
16482,9,4,1989,3,PP,M,22.0,16.0
13991,1,24,1988,4,DS,M,53.0,136.0
4666,7,8,1981,8,DO,M,36.0,48.0
15871,4,1,1989,12,RM,F,17.0,9.0
31190,7,23,2000,4,DM,M,32.0,32.0
10687,8,20,1985,5,DM,M,38.0,53.0
35247,12,7,2002,12,PP,M,20.0,14.0
30360,2,6,2000,3,PB,F,27.0,38.0
32554,8,26,2001,8,PP,M,21.0,13.0
25619,4,13,1997,6,PM,F,20.0,22.0
22445,7,20,1995,12,PP,F,21.0,11.0
11640,7,3,1986,16,RM,F,15.0,10.0
20150,7,4,1992,3,RM,F,16.0,9.0
23045,12,2,1995,7,RM,F,17.0,12.0
20414,9,27,1992,9,DM,M,35.0,44.0
20016,5,30,1992,1,DM,M,36.0,43.0
8931,3,12,1984,18,DS,F,50.0,128.0
24741,11,17,1996,13,OT,F,22.0,27.0
33103,11,17,2001,7,PB,M,28.0,41.0
1654,2,25,1979,1,DM,M,37.0,48.0
5580,3,29,1982,23,RM,F,17.0,12.0
31260,8,25,2000,17,DM,M,37.0,43.0
9831,1,19,1985,24,DM,M,35.0,37.0
22526,7,21,1995,13,PP,F,23.0,14.0
4711,7,30,1981,9,DS,F,48.0,100.0
16457,9,4,1989,16,PE,F,19.0,27.0
24020,6,13,1996,19,PP,F,23.0,20.0
18510,3,14,1991,4,DM,F,37.0,46.0
7115,11,22,1982,1,OL,M,19.0,26.0
16464,9,4,1989,3,PP,F,21.0,16.0
33063,11,17,2001,18,PB,F,25.0,25.0
31888,3,25,2001,3,PB,M,26.0,34.0
34805,10,5,2002,18,PB,F,25.0,30.0
13450,9,27,1987,8,PP,M,22.0,16.0
21926,11,2,1994,5,OL,F,20.0,22.0
11050,11,17,1985,13,DM,M,36.0,43.0
6618,9,19,1982,22,PF,F,15.0,6.0
33909,4,17,2002,15,PP,F,22.0,15.0
2128,10,25,1979,14,DM,F,35.0,49.0
7064,11,22,1982,1,DO,M,36.0,56.0
1208,9,3,1978,11,DM,M,36.0,30.0
13825,11,22,1987,11,PE,M,21.0,24.0
24616,10,13,1996,14,DM,M,33.0,24.0
32057,5,26,2001,22,PB,M,27.0,40.0
31428,9,30,2000,22,PP,M,22.0,27.0
19069,9,10,1991,17,DM,M,36.0,55.0
14810,8,10,1988,11,DM,M,39.0,40.0
2486,2,25,1980,13,DM,M,36.0,48.0
15517,2,4,1989,23,RM,M,17.0,9.0
24339,8,15,1996,9,DM,F,37.0,45.0
22325,6,8,1995,13,OL,M,21.0,34.0
6143,6,29,1982,11,DM,M,37.0,42.0
29133,1,17,1999,8,DO,F,37.0,59.0
1302,9,4,1978,4,DM,F,36.0,37.0
6956,11,21,1982,19,OT,M,21.0,24.0
13507,10,24,1987,14,OL,M,19.0,30.0
8870,2,5,1984,3,NL,M,36.0,241.0
15396,1,11,1989,7,RM,M,16.0,10.0
631,2,19,1978,5,OT,M,20.0,25.0
33206,11,18,2001,14,DM,F,35.0,45.0
13836,11,22,1987,5,PM,M,20.0,27.0
7646,4,16,1983,12,DS,M,53.0,130.0
20441,10,18,1992,12,OT,F,20.0,25.0
35035,11,9,2002,12,PB,F,27.0,31.0
31039,7,2,2000,9,OT,M,19.0,29.0
32516,8,26,2001,6,PB,M,27.0,28.0
723,3,13,1978,8,OT,F,16.0,35.0
5458,2,23,1982,5,NL,M,34.0,235.0
15959,4,2,1989,21,RM,F,17.0,13.0
23787,4,15,1996,3,PP,M,24.0,23.0
2439,2,24,1980,23,PE,F,22.0,19.0
23240,1,27,1996,20,PF,M,15.0,6.0
11760,8,9,1986,17,DO,F,36.0,60.0
28938,12,22,1998,12,DO,F,35.0,54.0
32491,8,26,2001,4,PB,M,27.0,37.0
9921,1,20,1985,5,DM,F,35.0,31.0
23234,1,27,1996,2,DM,F,35.0,45.0
26983,10,25,1997,22,DM,F,36.0,41.0
33352,1,12,2002,19,PE,F,20.0,17.0
1706,3,31,1979,17,DO,F,34.0,50.0
29248,2,21,1999,4,DM,M,39.0,49.0
10008,2,17,1985,4,DM,F,36.0,36.0
24257,7,21,1996,6,DO,F,37.0,58.0
1683,3,31,1979,17,DS,M,51.0,71.0
800,4,9,1978,5,DM,F,35.0,50.0
20673,2,26,1993,10,RM,F,16.0,10.0
5596,3,30,1982,7,PM,F,21.0,27.0
32083,5,26,2001,24,NL,F,29.0,146.0
9722,12,30,1984,17,DM,M,32.0,41.0
24993,2,8,1997,12,DM,M,36.0,51.0
18806,6,14,1991,4,DM,F,35.0,40.0
911,5,19,1978,9,DS,F,48.0,129.0
3787,1,12,1981,15,OL,F,20.0,32.0
9334,7,4,1984,8,DO,M,36.0,57.0
10742,9,21,1985,18,DM,F,34.0,40.0
8716,12,8,1983,22,DM,F,36.0,38.0
27700,3,29,1998,17,DM,M,35.0,43.0
10327,4,21,1985,13,DM,M,33.0,43.0
3387,10,12,1980,4,DS,M,50.0,137.0
14952,10,8,1988,21,SH,M,27.0,62.0
25268,3,15,1997,22,DM,F,37.0,41.0
32013,4,22,2001,9,DM,F,37.0,47.0
29045,1,16,1999,12,DO,M,35.0,61.0
4632,7,7,1981,1,DO,M,36.0,35.0
26698,7,30,1997,15,PM,F,20.0,17.0
27098,10,26,1997,14,DM,M,37.0,43.0
11289,3,9,1986,4,DO,M,35.0,52.0
24791,11,17,1996,16,RM,F,17.0,16.0
33011,10,14,2001,15,PB,F,26.0,28.0
14623,6,12,1988,14,DM,M,36.0,45.0
28104,6,28,1998,9,DO,F,36.0,36.0
29293,2,21,1999,5,DM,M,37.0,47.0
792,4,9,1978,17,DM,F,34.0,42.0
15737,3,13,1989,20,RM,M,17.0,9.0
20830,4,24,1993,9,DM,M,37.0,35.0
1041,7,7,1978,17,DM,M,37.0,45.0
27024,10,25,1997,12,OT,F,20.0,26.0
6459,8,16,1982,1,DM,F,35.0,36.0
29056,1,16,1999,19,PB,F,25.0,33.0
26347,7,9,1997,8,DO,M,34.0,38.0
4869,10,24,1981,12,DS,M,53.0,155.0
27833,5,3,1998,8,DO,M,34.0,57.0
2328,1,15,1980,21,PF,F,16.0,9.0
17098,1,30,1990,4,DM,M,38.0,40.0
2197,11,18,1979,8,DM,M,35.0,44.0
34005,5,15,2002,17,PB,F,26.0,35.0
2260,11,18,1979,11,PP,M,22.0,16.0
13384,9,26,1987,13,OL,F,21.0,34.0
33884,4,17,2002,9,PP,M,23.0,24.0
29240,2,21,1999,4,DM,M,35.0,50.0
25322,3,16,1997,4,DM,F,35.0,46.0
8420,10,15,1983,15,PM,M,21.0,22.0
10563,7,23,1985,16,OL,F,19.0,40.0
11030,11,17,1985,1,DM,M,35.0,41.0
9698,10,21,1984,1,DM,M,35.0,42.0
1219,9,3,1978,9,DM,M,38.0,43.0
33861,4,17,2002,3,PB,F,25.0,32.0
9112,5,12,1984,20,DS,F,49.0,126.0
13857,1,23,1988,24,RM,F,17.0,11.0
8074,7,16,1983,12,RM,F,16.0,11.0
3788,1,12,1981,6,DS,F,48.0,135.0
4797,8,31,1981,4,DM,M,38.0,53.0
5308,1,25,1982,5,DM,F,35.0,41.0
3050,6,22,1980,11,DO,F,36.0,56.0
12873,5,28,1987,9,NL,F,31.0,177.0
11425,4,13,1986,1,DO,M,36.0,51.0
13553,10,24,1987,18,DM,M,33.0,41.0
15892,4,1,1989,11,RM,F,17.0,14.0
14028,2,21,1988,12,DO,F,37.0,50.0
20153,7,4,1992,3,OT,M,20.0,16.0
3348,10,11,1980,22,DS,F,51.0,124.0
32130,5,27,2001,13,PB,M,27.0,29.0
10900,10,13,1985,9,DM,M,37.0,44.0
34048,5,16,2002,3,PB,F,26.0,17.0
33126,11,18,2001,3,PB,F,26.0,32.0
19405,12,7,1991,1,RM,M,16.0,9.0
25956,6,9,1997,1,OL,M,20.0,16.0
32936,10,14,2001,6,PB,F,26.0,30.0
29498,4,18,1999,3,PP,F,22.0,16.0
23033,12,2,1995,19,PP,F,22.0,14.0
10166,4,20,1985,18,DM,M,36.0,49.0
25614,4,13,1997,4,DM,F,37.0,59.0
30290,2,5,2000,1,DO,F,36.0,65.0
8353,9,11,1983,8,PF,F,16.0,7.0
20656,2,19,1993,18,RM,F,16.0,10.0
31976,4,21,2001,20,PB,M,26.0,38.0
25383,3,16,1997,4,DM,F,36.0,44.0
1725,4,28,1979,11,DM,M,39.0,47.0
29509,4,18,1999,4,DM,F,35.0,46.0
12483,4,4,1987,17,NL,F,32.0,162.0
10978,11,16,1985,17,DM,F,36.0,39.0
1051,7,7,1978,8,DS,F,50.0,111.0
27699,3,29,1998,17,DM,M,36.0,49.0
21319,12,15,1993,5,OT,M,21.0,22.0
28911,11,22,1998,13,OT,F,20.0,28.0
35548,12,31,2002,7,DO,M,36.0,51.0
34300,6,16,2002,4,PB,F,26.0,23.0
26524,7,9,1997,10,RM,M,17.0,13.0
31928,3,25,2001,15,PP,M,23.0,19.0
7775,4,17,1983,7,RM,F,17.0,11.0
1086,7,8,1978,14,DS,F,51.0,120.0
8907,2,5,1984,11,DM,F,36.0,33.0
34748,9,10,2002,6,PB,F,27.0,36.0
21604,5,19,1994,14,DM,M,36.0,46.0
2061,9,23,1979,3,PF,F,15.0,7.0
2502,2,25,1980,24,DM,M,36.0,46.0
14215,3,20,1988,14,DM,M,39.0,56.0
26296,7,9,1997,20,PF,F,16.0,8.0
30167,1,8,2000,1,DO,M,35.0,41.0
17946,10,16,1990,8,DM,M,35.0,26.0
27354,12,28,1997,20,PM,F,20.0,19.0
731,4,8,1978,2,DS,F,47.0,110.0
1908,7,24,1979,13,OT,F,20.0,27.0
31722,1,21,2001,12,DO,M,34.0,54.0
17055,1,30,1990,8,DM,F,37.0,39.0
34075,5,16,2002,4,DO,M,36.0,50.0
21499,4,10,1994,18,RM,M,18.0,11.0
6676,10,23,1982,17,DM,M,36.0,46.0
23218,1,27,1996,17,DM,M,37.0,25.0
17634,6,22,1990,4,DM,F,37.0,40.0
34843,10,5,2002,21,PB,F,27.0,32.0
7378,2,27,1983,2,DS,M,52.0,141.0
8699,12,8,1983,12,NL,F,33.0,170.0
14313,3,21,1988,13,NL,F,32.0,192.0
33773,4,16,2002,12,DO,M,36.0,54.0
9875,1,20,1985,5,DM,F,33.0,25.0
30704,5,1,2000,13,PB,M,26.0,43.0
13601,10,25,1987,4,DS,M,52.0,133.0
15918,4,2,1989,16,RM,M,17.0,8.0
1698,3,31,1979,18,DS,M,51.0,127.0
25167,3,15,1997,20,RM,F,15.0,10.0
18828,7,12,1991,19,BA,F,14.0,11.0
16122,6,3,1989,19,PE,F,20.0,18.0
15340,1,10,1989,12,PE,F,19.0,26.0
11813,9,6,1986,22,DM,M,37.0,42.0
14957,10,8,1988,12,DM,M,37.0,51.0
12343,3,1,1987,20,DO,F,34.0,50.0
14745,8,9,1988,20,RM,F,16.0,13.0
23091,12,3,1995,3,PP,F,22.0,17.0
34291,6,16,2002,3,PP,M,22.0,12.0
32440,8,25,2001,22,PB,M,26.0,28.0
14535,5,15,1988,8,DM,F,37.0,50.0
31893,3,25,2001,4,PB,M,27.0,49.0
23776,4,15,1996,3,RM,M,18.0,11.0
32519,8,26,2001,11,PP,F,22.0,16.0
24883,12,19,1996,13,OT,F,22.0,25.0
29366,3,14,1999,22,DM,M,35.0,38.0
31719,1,21,2001,2,PB,M,26.0,42.0
17398,4,24,1990,18,PF,M,16.0,7.0
12617,4,25,1987,24,DM,F,36.0,42.0
9823,1,19,1985,23,RM,M,16.0,4.0
17747,8,16,1990,24,PP,M,22.0,20.0
8364,9,11,1983,15,NL,F,31.0,146.0
27215,11,22,1997,17,OT,F,20.0,22.0
34847,10,5,2002,21,PB,M,26.0,40.0
669,3,11,1978,9,DS,F,50.0,146.0
18799,6,14,1991,4,DM,M,36.0,48.0
8446,10,15,1983,17,DM,F,35.0,36.0
28738,10,25,1998,3,PB,M,25.0,26.0
28046,6,27,1998,21,PB,F,26.0,34.0
12574,4,6,1987,11,OL,M,22.0,36.0
34544,7,14,2002,3,PP,M,23.0,16.0
13479,9,27,1987,7,PE,F,21.0,15.0
361,11,12,1977,2,DM,F,36.0,40.0
24985,2,8,1997,21,PF,M,16.0,9.0
15359,1,10,1989,1,DO,M,35.0,57.0
23277,1,28,1996,11,DM,M,39.0,54.0
22187,4,1,1995,17,DM,M,38.0,56.0
24478,9,22,1996,15,PF,F,15.0,7.0
10429,5,24,1985,8,DO,F,36.0,44.0
14354,4,17,1988,22,DM,F,33.0,24.0
30650,5,1,2000,6,PP,F,22.0,19.0
16057,5,11,1989,8,DM,F,37.0,43.0
17508,5,23,1990,19,PF,F,15.0,7.0
27320,12,28,1997,24,PM,F,21.0,27.0
3411,11,8,1980,21,OT,M,20.0,25.0
33580,3,13,2002,2,DM,M,36.0,55.0
34278,6,15,2002,24,PE,M,20.0,15.0
1817,5,30,1979,5,DM,F,35.0,53.0
27065,10,26,1997,5,PE,F,20.0,16.0
12741,5,28,1987,16,PM,F,20.0,18.0
27031,10,25,1997,2,PM,M,21.0,17.0
6497,8,16,1982,4,DS,F,48.0,111.0
17978,11,10,1990,12,DM,F,36.0,40.0
30417,2,6,2000,15,PP,F,22.0,16.0
1934,7,25,1979,8,DS,F,51.0,126.0
4590,6,5,1981,22,DS,M,52.0,114.0
23499,3,23,1996,17,DM,F,37.0,38.0
10706,8,20,1985,2,DO,F,36.0,50.0
2395,1,16,1980,14,NL,F,33.0,120.0
30604,4,30,2000,17,DM,F,32.0,33.0
2006,8,23,1979,1,DS,M,50.0,142.0
22933,10,29,1995,5,PP,M,22.0,14.0
13560,10,24,1987,17,PE,F,19.0,21.0
19638,2,6,1992,7,PE,M,20.0,23.0
8385,9,11,1983,6,DS,M,54.0,144.0
9135,5,13,1984,3,DM,M,36.0,27.0
7843,5,14,1983,24,DM,F,36.0,46.0
7903,5,15,1983,9,DS,F,50.0,120.0
3929,3,8,1981,13,DS,F,48.0,120.0
21960,12,4,1994,1,DM,M,37.0,44.0
20416,9,27,1992,15,RM,M,16.0,6.0
9201,5,27,1984,24,NL,F,33.0,195.0
18233,1,11,1991,7,RM,F,16.0,11.0
21823,10,12,1994,12,DM,F,37.0,42.0
434,12,10,1977,13,PF,F,16.0,7.0
23220,1,27,1996,2,DM,F,36.0,47.0
20478,10,19,1992,9,RM,F,18.0,12.0
26269,7,9,1997,12,DM,F,37.0,44.0
19527,12,8,1991,5,RM,F,17.0,11.0
34418,7,13,2002,1,DM,M,37.0,50.0
8926,3,12,1984,22,DS,M,49.0,133.0
4410,5,3,1981,24,DM,M,36.0,43.0
31454,10,1,2000,4,DM,F,35.0,39.0
10928,10,13,1985,8,DS,F,49.0,125.0
28521,9,19,1998,21,PB,M,26.0,39.0
15209,12,13,1988,1,DM,M,34.0,49.0
26405,7,9,1997,13,PF,M,16.0,10.0
19447,12,7,1991,22,DM,F,36.0,41.0
18013,11,10,1990,1,DM,M,37.0,45.0
18394,2,17,1991,11,OL,M,20.0,30.0
16475,9,4,1989,5,OT,F,19.0,22.0
13647,11,21,1987,17,PE,M,20.0,17.0
34528,7,13,2002,24,RM,M,15.0,7.0
19780,3,7,1992,24,PE,F,21.0,21.0
29184,2,20,1999,12,DM,M,36.0,42.0
19534,12,8,1991,4,DO,F,34.0,48.0
18564,4,19,1991,12,OL,M,21.0,40.0
27322,12,28,1997,17,DM,F,38.0,39.0
30114,12,6,1999,3,PB,F,27.0,28.0
28464,8,23,1998,13,PB,M,25.0,20.0
23121,12,21,1995,21,RM,F,16.0,12.0
6369,8,15,1982,12,DM,M,34.0,29.0
34361,6,16,2002,8,DO,M,37.0,45.0
16445,9,3,1989,6,PE,F,19.0,28.0
20740,3,18,1993,9,OL,F,20.0,27.0
5668,3,30,1982,6,DM,M,38.0,51.0
21495,4,10,1994,22,DS,M,50.0,118.0
29405,3,15,1999,13,PB,F,26.0,34.0
31761,1,22,2001,6,OT,M,21.0,24.0
14931,9,12,1988,4,DM,F,36.0,44.0
9785,12,31,1984,2,DO,M,33.0,45.0
33607,3,13,2002,18,PB,F,27.0,32.0
8690,12,8,1983,12,DS,F,52.0,127.0
7567,3,15,1983,9,PF,M,14.0,7.0
16887,1,6,1990,12,SF,M,28.0,44.0
17116,2,24,1990,19,PF,F,15.0,7.0
25466,4,12,1997,20,PM,F,21.0,23.0
14042,2,21,1988,24,PE,F,21.0,24.0
656,3,11,1978,9,DS,F,49.0,128.0
24285,8,14,1996,22,PP,M,23.0,16.0
9342,7,4,1984,11,OL,M,20.0,26.0
21920,11,2,1994,9,DM,M,36.0,39.0
13288,8,26,1987,4,DS,F,47.0,120.0
34818,10,5,2002,12,OT,M,20.0,22.0
34908,10,6,2002,9,PB,M,27.0,42.0
28470,8,23,1998,14,PM,F,20.0,19.0
24600,10,13,1996,3,OT,M,21.0,23.0
22943,10,29,1995,3,PP,F,21.0,14.0
15440,1,11,1989,5,RM,M,16.0,10.0
15889,4,1,1989,24,RM,M,19.0,11.0
20815,4,24,1993,4,PP,F,22.0,16.0
22585,8,27,1995,3,PP,F,23.0,17.0
35041,11,9,2002,22,PB,M,27.0,43.0
218,9,13,1977,1,PF,M,13.0,4.0
20627,1,25,1993,6,RM,F,17.0,9.0
32965,10,14,2001,9,OT,F,21.0,25.0
25973,6,9,1997,2,OT,M,19.0,18.0
8894,2,5,1984,3,DM,F,36.0,37.0
17925,10,16,1990,17,DM,M,37.0,47.0
3203,8,13,1980,8,DS,M,53.0,134.0
18906,7,13,1991,8,DM,F,36.0,39.0
21252,11,14,1993,14,DM,M,37.0,42.0
32602,9,22,2001,2,OT,M,20.0,23.0
26974,10,25,1997,21,OT,F,19.0,25.0
28383,8,22,1998,20,PP,M,22.0,14.0
33585,3,13,2002,2,OT,F,20.0,23.0
31224,8,25,2000,12,PP,F,21.0,16.0
14905,9,12,1988,9,DM,F,37.0,42.0
19955,5,2,1992,20,RM,F,18.0,15.0
32465,8,25,2001,20,PB,M,27.0,33.0
30246,1,10,2000,11,DM,F,33.0,54.0
20753,3,18,1993,14,DM,M,35.0,44.0
7310,1,13,1983,1,DM,M,37.0,41.0
8483,10,16,1983,4,DM,M,34.0,37.0
14913,9,12,1988,4,PP,M,22.0,15.0
13719,11,21,1987,17,PM,F,20.0,23.0
17564,5,25,1990,14,DM,M,35.0,30.0
15846,4,1,1989,12,NL,F,32.0,137.0
30318,2,5,2000,12,DO,F,35.0,56.0
9553,9,29,1984,24,DM,M,35.0,37.0
29724,6,12,1999,19,PB,F,26.0,27.0
